user_id,n_points,q,S_unc,S_rand,Pi_max,Rg_km,R,R_rand
4417,14,0.7734424166142227,3.8073549220576055,3.807354922057604,0.07142857142857142,3.2097813076439485,0.8571428571428571,0.07142857142857142
20996,5,0.43925233644859807,1.9219280948873623,2.0,1.0,5.188183149588183,0.8,0.25
24272,9,0.7486033519553073,2.94770277922009,3.0,1.0,0.17728847886641566,1.0,0.125
34094,17,0.5985401459854014,4.087462841250339,4.087462841250339,0.058823529411764705,3.5772118156953194,0.6470588235294118,0.058823529411764705
37815,8,0.7894736842105263,3.0,3.0,0.125,3.4691680158601437,0.875,0.125
69259,20,0.7485331098072088,4.1219280948873624,4.169925001442312,1.0,6.428181918690434,0.25,0.05555555555555555
95644,8,0.5193591455273698,3.0,3.0,0.125,4.0475996645573264,0.75,0.125
102354,6,0.7798165137614679,2.584962500721156,2.584962500721156,0.16666666666666666,1.57179320743694,1.0,0.16666666666666666
126315,6,0.7677419354838709,2.584962500721156,2.584962500721156,0.16666666666666666,1.4730939762594581,1.0,0.16666666666666666
132595,6,0.708029197080292,2.584962500721156,2.584962500721156,0.16666666666666666,1.8369419781962646,1.0,0.16666666666666666
179879,9,0.42148760330578505,2.94770277922009,3.0,1.0,2.1621146305371237,0.7777777777777778,0.125
182376,17,0.7058823529411764,3.9698157824268097,4.0,1.0,3.9176952290510747,0.47058823529411764,0.0625
189657,5,0.13875598086124408,2.321928094887362,2.321928094887362,0.2,0.153655653820057,0.6,0.2
191134,35,0.7531645569620253,5.014997302659251,5.044394119358453,1.0,4.156393527292253,0.37142857142857144,0.030303030303030304
194681,5,0.7720797720797721,2.321928094887362,2.321928094887362,0.2,2.096316274638372,0.8,0.2
198687,9,0.7101449275362319,2.94770277922009,3.0,1.0,2.1956297622831933,1.0,0.125
200101,7,0.2638036809815951,2.5216406363433186,2.584962500721156,1.0,2.285793119965317,0.8571428571428571,0.16666666666666666
200476,5,0.5020746887966805,2.321928094887362,2.321928094887362,0.2,6.8478810209742615,0.8,0.2
207943,9,0.7630539710399298,2.5032583347756456,2.584962500721156,1.0,3.9957570152140782,1.0,0.16666666666666666
219669,8,0.6736596736596736,3.0,3.0,0.125,1.9824775837044804,0.875,0.125
240396,12,0.6875,3.4182958340544896,3.4594316186372973,1.0,3.912046395259369,0.6666666666666666,0.09090909090909091
245821,5,0.7493734335839599,2.321928094887362,2.321928094887362,0.2,2.38364046490242,1.0,0.2
246675,5,0.1724137931034484,2.321928094887362,2.321928094887362,0.2,6.7696280239080435,0.8,0.2
252889,12,0.7117117117117118,3.0220552088742,3.169925001442312,1.0,2.8284233395857337,0.6666666666666666,0.1111111111111111
